Tipo de evento,Código de evento,Fecha de evento,N.º total de impresiones,Versión del firmware,Ayuda
Info,34.02.01,29-mar-2026 20:35:40,39923,2509087_000074,
Info,34.02.01,29-mar-2026 20:35:39,39923,2509087_000074,
Info,34.02.01,29-mar-2026 19:23:07,39923,2509087_000074,
Info,34.02.01,29-mar-2026 19:19:34,39923,2509087_000074,
Info,34.02.01,29-mar-2026 19:19:33,39923,2509087_000074,
Info,34.02.01,29-mar-2026 19:08:59,39923,2509087_000074,
Info,34.02.01,29-mar-2026 11:16:23,39923,2509087_000074,
Info,34.02.01,29-mar-2026 11:16:22,39923,2509087_000074,
Info,34.02.01,29-mar-2026 1:03:39,39923,2509087_000074,
Info,34.02.01,28-mar-2026 20:35:23,39923,2509087_000074,
Info,34.02.01,28-mar-2026 20:34:55,39923,2509087_000074,
Info,33.27.01,28-mar-2026 19:23:44,39923,2509087_000074,"Errors in the 33.* family are related to the printer’s storage system or the formatter. The component might have been previously installed in another printer and is therefore locked to the other printer. Or, the component might be incorrect for this printer."
Info,34.02.01,28-mar-2026 19:23:40,39923,2509087_000074,
Info,34.02.01,28-mar-2026 19:22:28,39923,2509087_000074,
Info,34.02.01,28-mar-2026 19:19:12,39923,2509087_000074,
Info,34.02.01,28-mar-2026 19:08:39,39923,2509087_000074,
Info,34.02.01,28-mar-2026 10:31:48,39838,2509087_000074,
Info,34.02.01,28-mar-2026 1:03:14,39793,2509087_000074,
Info,34.02.01,27-mar-2026 20:34:36,39791,2509087_000074,
Info,34.02.01,27-mar-2026 20:34:07,39791,2509087_000074,
Info,34.02.01,27-mar-2026 19:22:14,39765,2509087_000074,
Info,34.02.01,27-mar-2026 19:18:58,39765,2509087_000074,
Info,34.02.01,27-mar-2026 19:08:26,39757,2509087_000074,
Info,34.02.01,27-mar-2026 9:09:12,39597,2509087_000074,
Info,34.02.01,27-mar-2026 1:02:57,39554,2509087_000074,
Info,34.02.01,27-mar-2026 1:02:56,39554,2509087_000074,
Info,34.02.01,26-mar-2026 20:33:44,39545,2509087_000074,
Info,34.02.01,26-mar-2026 20:33:16,39545,2509087_000074,
Info,34.02.01,26-mar-2026 19:22:02,39509,2509087_000074,
Info,34.02.01,26-mar-2026 19:18:45,39509,2509087_000074,
Info,34.02.01,26-mar-2026 19:07:57,39509,2509087_000074,
Info,34.02.01,26-mar-2026 19:07:56,39509,2509087_000074,
Error,31.13.02,26-mar-2026 12:18:11,39434,2509087_000074,"Document feeder job error, feed jam."
Info,34.02.01,26-mar-2026 6:10:41,39320,2509087_000074,
Info,34.02.01,26-mar-2026 6:10:40,39320,2509087_000074,
Info,34.02.01,26-mar-2026 1:02:40,39304,2509087_000074,
Info,34.02.01,26-mar-2026 1:02:39,39304,2509087_000074,
Info,34.02.01,25-mar-2026 20:32:59,39297,2509087_000074,
Info,34.02.01,25-mar-2026 20:32:27,39297,2509087_000074,
Info,34.02.01,25-mar-2026 19:21:57,39269,2509087_000074,
Info,34.02.01,25-mar-2026 19:21:56,39269,2509087_000074,
Info,34.02.01,25-mar-2026 19:18:40,39269,2509087_000074,
Info,34.02.01,25-mar-2026 19:18:39,39269,2509087_000074,
Info,34.02.01,25-mar-2026 19:07:39,39261,2509087_000074,
Info,34.02.01,25-mar-2026 3:52:31,39088,2509087_000074,
Info,34.02.01,25-mar-2026 1:02:27,39084,2509087_000074,
Info,34.02.01,25-mar-2026 1:02:26,39084,2509087_000074,
Info,34.02.01,24-mar-2026 20:32:12,39084,2509087_000074,
Info,34.02.01,24-mar-2026 20:31:40,39084,2509087_000074,
Info,34.02.01,24-mar-2026 20:31:39,39084,2509087_000074,
Info,34.02.01,24-mar-2026 19:21:41,39084,2509087_000074,
Info,34.02.01,24-mar-2026 19:21:40,39084,2509087_000074,
Info,34.02.01,24-mar-2026 19:18:25,39084,2509087_000074,
Info,34.02.01,24-mar-2026 19:18:24,39084,2509087_000074,
